block,treat,plant,dist,up_down,slope,d15,precN,precC,C/N,dist2
18,T,Lichen,0.75,down,8,9,0.3179,42.8286,134.7355,3
19,T,Lichen,0.75,down,25,9,0.3339,43.4891,130.2297,3
20,T,Lichen,0.75,down,11,0,0.3412,43.1014,126.3339,3
1,T,Kalmia,0.75,up,13,NA,NA,NA,NA,3
2,T,Kalmia,0.75,up,25,29,0.9964,53.5184,53.7132,3
3,T,Kalmia,0.75,up,18,1494,1.2065,53.4442,44.2981,3
4,T,Kalmia,0.75,up,6,16,1.3008,53.564,41.1779,3
5,T,Kalmia,0.75,up,4,295,1.2294,54.0662,43.9772,3
6,T,Kalmia,0.75,up,8,3,1.1573,53.2096,45.9767,3
7,T,Kalmia,0.75,up,4,-2,1.2515,54.4157,43.4795,3
8,T,Kalmia,0.75,up,9,-7,1.0793,54.0253,50.0539,3
9,T,Kalmia,0.75,up,10,196,1.2065,54.7514,45.3808,3
10,T,Kalmia,0.75,up,15,3,1.0401,53.4564,51.3958,3
11,T,Kalmia,0.75,up,11,52,1.1703,54.8845,46.8981,3
12,T,Kalmia,0.75,up,11,46,1.142,54.7411,47.9357,3
13,T,Kalmia,0.75,up,10,160,1.2099,54.2241,44.8172,3
14,T,Kalmia,0.75,up,6,39,1.2131,54.1164,44.6091,3
15,T,Kalmia,0.75,up,1,630,1.5151,52.9837,34.9694,3
16,T,Kalmia,0.75,up,4,10,1.1208,54.249,48.402,3
17,T,Kalmia,0.75,up,10,14,1.038,52.7905,50.8572,3
18,T,Kalmia,0.75,up,8,17,0.8598,53.873,62.6604,3
19,T,Kalmia,0.75,up,25,-2,1.3835,53.7615,38.8584,3
20,T,Kalmia,0.75,up,11,-2,1.2759,54.0647,42.375,3
1,T,Kalmia,0.75,down,13,197,1.0876,53.2656,48.9742,3
2,T,Kalmia,0.75,down,25,19,0.9065,53.2999,58.7956,3
3,T,Kalmia,0.75,down,18,43,0.9978,54.632,54.7498,3
4,T,Kalmia,0.75,down,6,22,1.273,54.4432,42.7685,3
5,T,Kalmia,0.75,down,4,7,1.1603,54.095,46.623,3
6,T,Kalmia,0.75,down,8,NA,NA,NA,NA,3
7,T,Kalmia,0.75,down,4,-4,0.9386,53.8412,57.3616,3
8,T,Kalmia,0.75,down,9,-6,0.9469,54.8651,57.942,3
9,T,Kalmia,0.75,down,10,9,1.1704,52.8251,45.1323,3
10,T,Kalmia,0.75,down,15,1271,1.0011,54.1361,54.0744,3
11,T,Kalmia,0.75,down,11,1351,1.2601,53.1872,42.2073,3
12,T,Kalmia,0.75,down,11,459,1.2018,54.5425,45.3838,3
13,T,Kalmia,0.75,down,10,69,1.3071,54.2957,41.5396,3
14,T,Kalmia,0.75,down,6,142,1.2107,54.1848,44.7562,3
15,T,Kalmia,0.75,down,1,19,1.329,54.9455,41.3448,3
16,T,Kalmia,0.75,down,4,1123,0.997,53.4539,53.6134,3
17,T,Kalmia,0.75,down,10,6,1.1392,54.9252,48.2121,3
18,T,Kalmia,0.75,down,8,38,1.1412,52.9369,46.3867,3
19,T,Kalmia,0.75,down,25,-6,1.3382,54.6922,40.8711,3
20,T,Kalmia,0.75,down,11,7,1.0179,53.0435,52.1109,3
1,T,Lichen,1,up,13,-1,0.2465,43.2281,175.3675456,4
2,T,Lichen,1,up,25,NA,NA,NA,NA,4
3,T,Lichen,1,up,18,98,0.1894,43.1966,228.1006,4
4,T,Lichen,1,up,6,NA,NA,NA,NA,4
5,T,Lichen,1,up,4,NA,NA,NA,NA,4
6,T,Lichen,1,up,8,-4,0.2649,42.6095,160.8324,4
7,T,Lichen,1,up,4,NA,NA,NA,NA,4
8,T,Lichen,1,up,9,-5,0.3177,42.5157,133.8322,4
9,T,Lichen,1,up,10,9,0.242,41.8886,173.1231,4
10,T,Lichen,1,up,15,-3,0.3274,42.1697,128.8078,4
11,T,Lichen,1,up,11,NA,NA,NA,NA,4
12,T,Lichen,1,up,11,-1,0.2925,42.4696,145.1811,4
13,T,Lichen,1,up,10,NA,NA,NA,NA,4
14,T,Lichen,1,up,6,10,0.2824,42.4546,150.3358,4
15,T,Lichen,1,up,1,NA,NA,NA,NA,4
16,T,Lichen,1,up,4,15,0.2555,41.401,162.0618,4
17,T,Lichen,1,up,10,-4,0.2899,42.0012,144.9011,4
18,T,Lichen,1,up,8,NA,NA,NA,NA,4
19,T,Lichen,1,up,25,4,0.3572,42.8954,120.1037,4
20,T,Lichen,1,up,11,0,0.3498,42.6163,121.8367,4
1,T,Lichen,1,down,13,NA,NA,NA,NA,4
2,T,Lichen,1,down,25,NA,NA,NA,NA,4
3,T,Lichen,1,down,18,-1,0.2483,42.4753,171.0433,4
4,T,Lichen,1,down,6,-5,0.2573,42.2189,164.0739,4
5,T,Lichen,1,down,4,3,0.2334,42.2324,180.9601,4
6,T,Lichen,1,down,8,NA,NA,NA,NA,4
7,T,Lichen,1,down,4,-6,0.2899,42.3532,146.1177,4
8,T,Lichen,1,down,9,-4,0.2448,42.5556,173.8581,4
9,T,Lichen,1,down,10,4,0.2457,41.9551,170.7691,4
10,T,Lichen,1,down,15,-1,0.1726,41.8465,242.4691,4
11,T,Lichen,1,down,11,-4,0.2838,42.5907,150.0518,4
12,T,Lichen,1,down,11,NA,NA,NA,NA,4
13,T,Lichen,1,down,10,NA,NA,NA,NA,4
14,T,Lichen,1,down,6,-2,0.5235,42.7422,81.6491,4
15,T,Lichen,1,down,1,NA,NA,NA,NA,4
16,T,Lichen,1,down,4,NA,NA,NA,NA,4
17,T,Lichen,1,down,10,2,0.4408,43.0359,97.6238,4
18,T,Lichen,1,down,8,200,0.2617,42.0305,160.6031,4
19,T,Lichen,1,down,25,6,0.4244,43.1018,101.5649,4
20,T,Lichen,1,down,11,5,0.4106,43.3991,105.6982,4
1,T,Kalmia,1,up,13,-6,1.5054,52.3147,34.7521,4
2,T,Kalmia,1,up,25,-3,1.1979,52.3533,43.703,4
3,T,Kalmia,1,up,18,-1,0.9388,52.985,56.438,4
4,T,Kalmia,1,up,6,-7,1.335,51.4813,38.562,4
5,T,Kalmia,1,up,4,-7,1.3229,54.0547,40.8609,4
6,T,Kalmia,1,up,8,710,1.3085,52.9744,40.4837,4
7,T,Kalmia,1,up,4,61,1.39,52.5484,37.8059,4
8,T,Kalmia,1,up,9,-2,1.2155,54.0438,44.4607,4
9,T,Kalmia,1,up,10,-6,1.538,53.0414,34.4883,4
10,T,Kalmia,1,up,15,4,1.4698,52.7535,35.8926,4
11,T,Kalmia,1,up,11,-5,1.7032,53.0536,31.1488,4
12,T,Kalmia,1,up,11,-7,1.3897,52.5775,37.8325,4
13,T,Kalmia,1,up,10,7,1.4206,53.6986,37.799,4
14,T,Kalmia,1,up,6,97,1.6474,53.7387,32.6208,4
15,T,Kalmia,1,up,1,-4,1.8122,53.2932,29.4083,4
16,T,Kalmia,1,up,4,-5,1.6907,53.6649,31.7415,4
17,T,Kalmia,1,up,10,-3,1.6653,52.5824,31.5745,4
18,T,Kalmia,1,up,8,-7,1.1793,53.2723,45.1727,4
19,T,Kalmia,1,up,25,-10,1.2556,54.4007,43.3251,4
20,T,Kalmia,1,up,11,3,0.8701,54.1139,62.1937,4
1,T,Kalmia,1,down,13,11,1.2702,53.4027,42.0418,4
2,T,Kalmia,1,down,25,67,1.2649,52.2737,41.3257,4
3,T,Kalmia,1,down,18,6,1.0624,53.946,50.7793,4
4,T,Kalmia,1,down,6,-7,1.2924,53.1858,41.1515,4
5,T,Kalmia,1,down,4,-1,1.4868,53.4567,35.9533,4
6,T,Kalmia,1,down,8,145,1.2752,53.1212,41.6583,4
7,T,Kalmia,1,down,4,-2,1.5189,53.1697,35.0051,4
8,T,Kalmia,1,down,9,-4,1.4062,53.3165,37.9163,4
9,T,Kalmia,1,down,10,270,1.5756,52.669,33.4275,4
10,T,Kalmia,1,down,15,0,1.3907,53.2986,38.3248,4
11,T,Kalmia,1,down,11,-5,1.531,52.4216,34.2406,4
12,T,Kalmia,1,down,11,38,1.3998,53.3504,38.1133,4
